Macrotrends Data Download

Lebanon Hunger Statistics 2001-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, % of Population, Annual Change, 
2001-12-31,7.9
2002-12-31,8.7,0.8
2003-12-31,9.7,1
2004-12-31,10.8,1.1
2005-12-31,11,0.2
2006-12-31,10.6,-0.4
2007-12-31,10,-0.6
2008-12-31,9.5,-0.5
2009-12-31,9.7,0.2
2010-12-31,10.3,0.6
2011-12-31,12.2,1.9
2012-12-31,15,2.8
2013-12-31,12.4,-2.6
2014-12-31,9.3,-3.1
2015-12-31,5.6,-3.7
2016-12-31,6.2,0.6
2017-12-31,6.2,0
2018-12-31,5.7,-0.5
